Distância (quilômetros),São Luís,Imperatriz,Caxias,Timon,Paço do Lumiar,Açailândia,Codó,Bacabal,São José de Ribamar,Barra do Corda,Santa Luzia,Balsas,Santa Inês,Buriticupu,Tutóia
São Luís,0,632,365,431,25,563,300,248,30,447,294,800,248,411,325
Imperatriz,632,0,579,643,641,69,536,485,646,310,338,392,385,221,835
Caxias,365,579,0,67,374,608,102,193,379,270,339,542,292,456,343
Timon,431,642,68,0,440,673,168,259,444,334,405,605,358,522,368
Paço do Lumiar,26,642,375,441,0,573,309,258,10,457,304,810,258,421,335
Açailândia,563,69,607,673,573,0,542,416,577,377,270,459,316,153,766
Codó,299,535,102,168,309,542,0,127,313,227,273,581,227,390,444
Bacabal,249,486,194,260,259,417,129,0,263,219,149,560,102,266,452
São José de Ribamar,30,646,379,445,10,577,314,262,0,461,309,814,262,426,339
Barra do Corda,447,309,270,334,456,377,227,218,461,0,267,354,293,263,610
Santa Luzia,294,339,338,404,304,270,273,147,308,340,0,551,47,119,497
Balsas,800,390,541,605,810,457,581,559,814,355,551,0,597,483,881
Santa Inês,248,385,292,358,258,316,227,101,262,294,48,597,0,165,451
Buriticupu,412,222,456,521,421,153,390,264,425,263,118,482,165,0,615
Tutóia,325,835,343,345,334,767,444,451,339,610,498,881,451,615,0
