Distância (quilômetros),Natal,Parnamirim,Paraíba,Caicó,Macaíba,Currais Novos,Ceará-Mirim,Santa Cruz,Nova Cruz,João Câmara,Canguaretama,Extremoz,Parelhas,São José de Mipibu,Goianinha
Natal,0,14,222,221,17,153,30,101,79,74,64,16,188,30,51
Parnamirim,14,0,211,211,11,143,35,90,66,74,53,24,176,18,40
Paraíba,222,211,0,1,205,68,207,122,184,176,217,216,54,210,210
Caicó,221,211,1,0,204,68,206,122,184,175,217,215,55,210,210
Macaíba,17,11,205,204,0,137,25,84,70,62,62,18,172,27,48
Currais Novos,153,143,68,68,137,0,139,55,122,112,153,148,50,143,145
Ceará-Mirim,30,35,207,206,25,139,0,92,93,45,87,15,179,52,73
Santa Cruz,101,90,122,122,84,55,92,0,71,80,99,98,88,88,90
Nova Cruz,79,66,184,184,70,122,93,71,0,113,35,88,137,50,34
João Câmara,74,74,176,175,62,112,45,80,113,0,120,59,159,88,105
Canguaretama,64,53,217,217,62,153,87,99,35,120,0,77,172,35,14
Extremoz,16,24,216,215,18,148,15,98,88,59,77,0,186,42,64
Parelhas,188,176,54,55,172,50,179,88,137,159,172,186,0,171,167
São José de Mipibu,30,18,210,210,27,143,52,88,50,88,35,42,171,0,22
Goianinha,51,40,210,210,48,145,73,90,34,105,14,64,167,22,0
